ts	phase	decision	why	evidence	result
2026-09-01T21:54:57Z	frame	audit base is main plus the uncommitted work in the main checkout, committed as 886092d	the running BarCut.app binary contains PendingScreenshot and no interceptor, so that uncommitted state is what the user actually runs	commit 886092d, strings on BarCut.app binary	swift build and swift test green, 3 tests
2026-09-01T21:54:57Z	frame	added scripts/build-app.sh and a full Info.plist	the repo had no way to produce the .app bundle, and launch-at-login needs a real bundle with a bundle id	scripts/build-app.sh	bundle builds and ad hoc signs
2026-09-01T21:54:57Z	harness	wrote scripts/bench.swift and ran it on a 3024x1964 screenshot before changing code	old value versus new value needs the old value first	scripts/bench.swift, /tmp/barcut-bench/screen.png	see baseline row
2026-09-01T21:57:24Z	harness	baseline on 3600x2338 png: fingerprint 60 ms, per-row full decode 57 ms, thumbnail 25 ms, pixel hash 35 ms, file hash 0.1 ms, writeObjects copy 16.5 ms, setData png copy 0.4 ms, idle RSS 33 MB	these are the numbers the rewrite has to beat	scripts/bench.swift run on /tmp/barcut-bench/screen.png	recorded
2026-09-01T21:57:24Z	design	spawned three design runners (fable, opus, gpt-5.6-sol) on the same contract	persistence layout and identity are one-way doors, wanted structurally different candidates before picking	.audit/runner-prompt.md, .audit/design-*.md	open
2026-09-01T22:05:24Z	design	picked fable's manifest plus content-addressed png as the base, grafted opus's header menu for login toggle and sol's logger	one atomic manifest holds order and source facts with the least sweep logic; the header menu is where the user already looks; log lines let the real app be verified from log show	.audit/design-synthesis.md	settled
2026-09-01T22:05:24Z	implement	delegated implementation to gpt-5.6-sol via codex exec workspace-write, single owner	the store, monitor, view and tests share one data shape, so one implementer beats parallel workers	/tmp/codex-impl.V84272/prompt.md	open
2026-09-01T22:06:11Z	design	confirmed the sRGB pixel hash is identical for the P3 screenshot file, its TIFF re-encode, and the pasteboard TIFF	the fable design flagged colour conversion as the one risk to same-image-once across sources	/tmp/barcut-bench/hash.swift, output 2ba681fdba58176f on all three	risk closed
2026-09-01T22:06:11Z	harness	wrote scripts/verify.sh: builds the bundle, ingests 4 files (3 identical), SIGKILLs, relaunches, checks the restore log line, ingests 12 more, checks eviction to 10 files, prints RSS at each point	the end-to-end proof has to be a script a reviewer can rerun, and it must not touch the user's Desktop or store	scripts/verify.sh	written, runs after the delegate lands
2026-09-01T22:28:24Z	implement	delegate finished after a relaunch; first codex run was killed by the 10 minute tool timeout mid-edit, second run continued from the partial tree	codex has no time limit of its own, the Bash tool does; detached with nohup the second time	/tmp/codex-impl.V84272/report.md	swift build green, 9 tests green
2026-09-01T22:28:24Z	review	found a 30 MB per image retention in the delegate's fingerprint: Data(bytes:count:) copy of the pixel buffer was kept alive; replaced with a bufferPointer update	heap showed one full size non-object buffer per ingest; harness on the real store went from 187 MB after 6 ingests to 5 MB	/tmp/barcut-bench/main.swift harness, variant A vs E	fixed, footprint flat
2026-09-01T22:28:24Z	review	replaced the delegate's TIFF promise (semaphore, detached task, NSObject conformance, main hop) with a 15 line TIFFPromise provider that reads the PNG file and encodes on demand	the pasteboard callback is synchronous by contract, so the actor round trip only added plumbing; the store directory is a let so the file URL is nonisolated	Sources/BarCut/ClipboardMonitor.swift TIFFPromise	build and tests green
